"Cikkszám";"Termék Név";"Státusz";"Nettó Ár";"Bruttó Ár";"Rövid Leírás";"Tulajdonságok";"Link";"Min. Menny.";"Max. Menny.";"Raktárkészlet";"Vásárolható, ha nincs Raktáron";"Változatokhoz Raktárkészlet";"Alacsony készlet";"Kép kapcsolat"
"C069";"Béaba – Bib'expresso 2in1 bébiétel melegitő";"1";"17314.9606";"21990";"-A tápszert körülbelül 30 másodperc alatt elkészíti<br />-Kétféle melegítési fokozat : 22 vagy 37 ° C<br />-Enyhén megkeveri a tápszert<br />-Bébiétel, baba ital felmelegítésére is használhatod<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)<br />";"";"";"1";"";"1";"0";"0";"";""
"C057";"Sweetyfoxx 6 in 1 Robotgép";"1";"18496.063";"23490";"-Digitális kijelző az automatikus funkciók kiválasztásához<br />-Túlmelegedésgátló funkció<br />-Hővédő fogantyúval<br />-Biztonsági zárral látták el, amely megakadályozza a készülék bekapcsolását, ha hibásan rakjuk össze<br />-Gőzfőzés<br />-Felolvasztás<br />-Újramelegítés, <br />-Sterilizálás, püré,<br />-Pulzus funkció, <br />-Automatikus tisztítás.<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)<br />-";"";"";"1";"";"1";"0";"0";"";""
"C109";"Tommee Tippee Closer To Nature Tejforraló";"1";"15740.1575";"19990";"Csomagolás nélkül<br />Kiadagolja az előre beállított(120ml-330ml) mennyiséget közvetlenül a cumisüvegbe.<br />A beépített vízszűrő rendszeren keresztül mindig tiszta víz kerül a tápszerhez.<br />A cumisüveg tartó magasságát a kifolyóhoz lehet állítani a cumisüveg nagyságához mérten. Így a legtöbb, kereskedelmi forgalomban kapható cumisüveghez használható.<br />Jelzi a vízkőmentesítés,és a szűrő cseréjének esedékességét.<br />A Tommee Tippee Perfect prep tápszerkészítővel egy gombnyomásra 2 perc alatt a megfelelő hőmérsékletű tápszer készíthető a babának.<br />Tej,Kakaó,Víz forralása odaégés veszélye nélkül";"";"";"1";"";"1";"0";"0";"";""
"H091";"Availand Wood Limited Prémium motoros bébiőr ";"2";"55110.2362";"69990";"Új, Kiállított darab volt ezért apróbb karcok előfordulhatnak<br />Szín: matt fehér / fa<br />Mattfehér felületű és fa részletek, 8,9 cm-es (3,5 hüvelykes) LCD-kijelzővel.<br />Motorizált kamera csecsemők automatikus megfigyelésére amit a LCD monitorral lehet mozgatni<br />Átviteli tartomány: hatótávolság kb. 300 m. 3 dallam segíti a baba elalvását.<br />Zavarmentes digitális vezeték nélküli technológia 100% -ban éjszakai látást biztosít. <br />Színes kijelző hosszú élettartamú lítium akkumulátorral (7 óra) vagy hálózati adapterrel. VOX rendszer<br />Időzítő funkció a baba táplálásához - digitális zoom. <br />Állítható fényerő és hangerő. <br />Hőmérséklet-szabályozás programozható riasztóval a babaszoba számára<br />Kétirányú kommunikáció: a szülők a képernyőn keresztül beszélhetnek babájukkal. <br />Legfeljebb 4 kamerával használható.<br />Tartozék:1 db Lcd kijelző<br />                 1 db motoros kamera<br />                 2 db Hálózati töltő<br />";"";"";"1";"";"1";"0";"0";"";""
"H125";"Baby Monitor Bébiőr";"2";"11803.1496";"14990";"<!HTML KOD><p><strong>Termék ellenőrzés miatt bontott csomagolás</strong><br />3,2 hüvelykes LCD képernyő: babaőrző 640 x 480 pixeles kamerával és 320 x 240 képpontos monitorral. <br />Infravörös éjjellátó baba kamera<br />Vox üzemmód: az energiatakarékosság érdekében a képernyőt Vox módban kikapcsolják, amikor csendes a baba szobájában. <br />Ha zaj van a babaszobában, a képernyő automatikusan bekapcsol.<br />Egyéb funkciók: bébimonitor hőmérséklet-kijelzővel, 360 fokos állítható kamera<br />Hatótávolság: Beltér 50m<br />Kültér 250m</p>";"";"";"1";"";"1";"0";"0";"";""
"H106";"Baby Sense Videós Bébiőr";"1";"19677.1654";"24990";"<!HTML KOD><p><strong>Új, ellenőrzés céljából bontott csomagolás</strong><br />A baby sense video bébimonitor tökéletes őrangyal a gyermekszobában<br />2,4 GHz-es színes LCD-kijelző továbbfejlesztett 2,4 GHz-es FHSS digitális technológiával<br />Nagy felbontású és stabil képet, biztonságos, zavartalan kapcsolatot és kristálytiszta digitális kép- és hangminőséget kínál.<br />Kétirányú kommunikáció, amely megnyugtatja a babát <br />Nagy hatótávolság - 300 m-ig (szabad helyen) figyelmeztetéssel a megengedett legnagyobb hatótávon kívül.<br />Nappali / éjszakai üzemmód</p>";"";"";"1";"";"1";"0";"0";"";""
"C029";"Babymoov Bébiőr Kamerás YOO-Care 300m";"1";"25976.378";"32990";"<!HTML KOD><p><strong>-Új, Ellenőrzés céljából bontott csomagolás</strong><br />-Hatótávolság nyílt terepen: 200-300 m között<br />-Csatorna - beállítás: automatikus<br />-Riasztás módja: hanggal, vizuálisan<br />-Beszéd iránya: Kétirányú<br />-Szülői egység működtetése: akkumulátorról, mini USB-ről<br />-Kamerás<br />-Bébiegység működtetése: akkumulátorral<br />-Éjjeli fény funkció<br />-A szülői egységhez akár több bébiegység is párosítható<br />-Szabályozható hangerő<br />-Gyerekszoba hőmérséklet kijelző<br />-Energiatakarékos üzemmód<br />-VOX funkció<br />-Hatótávolságon kivül riaszt<br />-Elemgyengeség kijelzés<br />-Hatótávolság nyílt terepen: 250m<br />-Interferencia mentes<br />-Csatlakoztatható kamerák száma: 4</p>";"";"";"1";"";"1";"0";"0";"";""
"C017";"Babymoov Expert Care A014303 A014301 bébiőr használt";"1";"12590.5512";"15990";"-Hatótávolság nyílt terepen: 400-1000 m között<br />-Csatorna - beállítás: automatikus<br />-Riasztás módja: fénnyel, hanggal, rezgéssel<br />-Beszéd iránya: Egyirányú<br />-Szülői egység működtetése: akkumulátorról<br />-Bébiegység működtetése: elemmel, hálózatról<br />-DECT technológia<br />-Éjjeli fény funkció<br />-Szabályozható hangerő<br />-Hatótávolságon kivül riaszt<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"1";"0";"0";"";""
"B063";"Babymoov Expert Care Bébiőr 1000m";"1";"16929.1339";"21500";"<!HTML KOD><p><span style=""color: #ff0000;""><strong>-Bontott dobozos, ellenőrzött új termék</strong></span><br />-Hatótávolság nyílt terepen: 400-1000 m között<br />-Csatorna - beállítás: automatikus<br />-Riasztás módja: fénnyel, hanggal, rezgéssel<br />-Beszéd iránya: Egyirányú<br />-Szülői egység működtetése: akkumulátorról<br />-Bébiegység működtetése: elemmel, hálózatról<br />-DECT technológia<br />-Éjjeli fény funkció<br />-Szabályozható hangerő<br />-Hatótávolságon kivül riaszt<br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)</p>";"";"";"1";"";"3";"0";"0";"";""
"E045";"Chicco Bébiőr Digital Audio";"1";"7866.1417";"9990";"-Ellenőrzés miatt bontott doboz<br />-Analóg jeltovábbítás<br />-Hangérzékenység kijelzés<br />-Hang-aktivitás funkció (a szülői egység hang érzékelésekor kapcsol csak be)<br />-A szülői egység elemről és aljzatről is működtethető<br />-2 elérhető csatorna a zavartalan jelátvitelért <br />-A kép illusztráció de a termék kinézete megegyezik vele(szín,modell)";"";"";"1";"";"3";"0";"0";"";""
